id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
6614,"Mangolte, Babette",None,1941,Jura,France,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/babette-mangolte-6614
1569,"Mann, Harrington",None,1864,Glasgow,United Kingdom,1937,New York,United States,http://www.tate.org.uk/art/artists/harrington-mann-1569
1570,"Manson, James Bolivar",None,1879,London,United Kingdom,1945,London,United Kingdom,http://www.tate.org.uk/art/artists/james-bolivar-manson-1570
14941,"Mantz, Werner",None,1901,Köln,Deutschland,1983,Eijsden,Nederland,http://www.tate.org.uk/art/artists/werner-mantz-14941
13085,"Manuel, Antonio",None,1947,Aveiro,Portugal,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/antonio-manuel-13085
1571,"Manzoni, Piero",None,1933,Soncino,Italia,1963,Milano,Italia,http://www.tate.org.uk/art/artists/piero-manzoni-1571
1572,"Manzu, Giacomo",None,1908,Bergamo,Italia,1991,Unknown,Unknown,http://www.tate.org.uk/art/artists/giacomo-manzu-1572
11413,"Mapplethorpe, Robert",None,1946,New York,United States,1989,New York,United States,http://www.tate.org.uk/art/artists/robert-mapplethorpe-11413
1573,"Mara, Tim",None,1948,Dublin,Éire,1997,Unknown,Unknown,http://www.tate.org.uk/art/artists/tim-mara-1573
1574,"Maraz, Adriana",None,1931,Ilirska Bistrica,Slovenija,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/adriana-maraz-1574
1575,"Marchand, Jean",None,1883,Paris,France,1941,Paris,France,http://www.tate.org.uk/art/artists/jean-marchand-1575
1576,"Marchant, Paul",None,1948,Unknown,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/paul-marchant-1576
6852,"Marclay, Christian",None,1955,San Rafael,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/christian-marclay-6852
1577,"Marcoussis, Louis",None,1878,Warszawa,Polska,1941,Cusset,France,http://www.tate.org.uk/art/artists/louis-marcoussis-1577
1578,"Marden, Brice",None,1938,Bronxville,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/brice-marden-1578
11145,Marepe,None,1970,Santo Antônio de Jesus,Brasil,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/marepe-11145
1579,"Mariani, Carlo Maria",None,1931,Roma,Italia,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/carlo-maria-mariani-1579
8402,"Mariën, Marcel",None,1920,Antwerpen,België,1993,Bruxelles,België,http://www.tate.org.uk/art/artists/marcel-marien-8402
